timestamp,speed,steer,throttle,brake
7191,0.0,0.0,0.0,1
3920,52.39,0.0,0.5,0
1338,22.84,0.0,0.5,0
6097,20.43,0.0,0.5,0
993,15.55,0.0,0.0,1
3477,23.71,0.0,0.5,0
9385,0.0,0.0,0.0,1
2312,17.76,0.0,1.0,0
3516,0.0,0.0,1.0,0
11,0.01,0.0,1.0,0
5965,22.85,0.0,0.5,0
2733,20.65,0.0,0.5,0
9254,21.1,0.0,0.5,0
5054,52.25,0.0,1.0,0
9828,0.0,0.0,0.0,1
3812,20.81,0.0,0.5,0
1580,22.62,0.0,0.5,0
8021,0.0,0.0,1.0,0
1033,23.54,0.0,1.0,0
8172,0.0,0.0,0.0,1
154,19.85,0.0,1.0,0
1270,22.91,0.0,0.5,0
1034,25.93,0.0,1.0,0
7149,0.0,0.0,0.0,1
9516,0.0,0.0,1.0,0
5939,23.63,0.0,0.5,0
1427,15.61,0.0,1.0,0
5708,20.76,0.0,0.5,0
9583,80.82,0.0,0.5,0
1115,48.99,0.0,1.0,0
3663,25.96,0.0,0.5,0
3780,0.0,0.0,0.0,1
8144,0.0,0.0,0.0,1
7507,-0.09,0.0,1.0,0
6721,22.89,0.0,0.5,0
5,0.0,0.0,1.0,0
9860,0.0,0.0,0.0,1
7429,0.0,0.0,0.0,1
2406,22.91,0.0,0.5,0
2436,22.09,0.0,0.5,0
7180,0.0,0.0,0.0,1
2282,20.94,0.0,0.5,0
5607,0.0,0.0,0.0,1
59,0.0,0.0,0.0,1
8194,0.0,0.0,0.0,1
9387,0.0,0.0,0.0,1
3823,20.38,0.0,0.5,0
3527,3.19,0.0,1.0,0
3794,19.83,0.0,1.0,0
9625,81.46,0.0,0.5,0
5356,17.95,0.0,1.0,0
2003,0.0,0.0,1.0,0
8237,0.0,0.0,0.0,1
9360,0.0,0.0,0.0,1
2631,0.0,0.0,0.0,1
7088,20.94,0.0,0.5,0
1362,20.03,0.0,0.5,0
9928,0.0,0.0,0.0,1
6600,0.0,0.0,0.0,1
8245,0.0,0.0,0.0,1
2520,0.0,0.0,1.0,0
264,20.84,0.0,0.5,0
9845,0.0,0.0,0.0,1
4658,22.14,0.0,0.5,0
382,19.78,0.0,1.0,0
7130,0.0,0.0,0.0,1
7401,10.44,0.0,0.0,1
9534,25.98,0.0,1.0,0
6503,0.0,0.0,1.0,0
14,0.0,0.0,1.0,0
1701,21.07,0.0,0.5,0
4408,0.0,0.0,0.0,1
9859,0.0,0.0,0.0,1
9317,0.0,0.0,0.0,1
3779,0.0,0.0,0.0,1
6398,19.88,0.0,1.0,0
5453,19.74,0.0,1.0,0
7016,0.0,0.0,1.0,0
7228,0.0,0.0,0.0,1
9709,-0.06,0.0,0.0,1
1719,20.76,0.0,0.5,0
8548,21.4,0.0,0.5,0
1170,15.57,0.0,1.0,0
3521,0.0,0.0,1.0,0
3118,56.76,0.0,1.0,0
3162,39.91,0.0,1.0,0
1578,23.25,0.0,0.5,0
5664,22.68,0.0,0.5,0
9084,19.7,0.0,1.0,0
507,-0.09,0.0,1.0,0
5475,22.88,0.0,0.5,0
2111,22.9,0.0,0.5,0
9899,0.0,0.0,0.0,1
5192,31.0,0.0,1.0,0
6601,0.0,0.0,0.0,1
5643,3.8,0.0,1.0,0
7275,0.0,0.0,0.0,1
6010,0.01,0.0,1.0,0
7138,0.0,0.0,0.0,1
3928,49.59,0.0,1.0,0
9264,22.9,0.0,0.5,0
9858,0.0,0.0,0.0,1
2521,0.0,0.0,1.0,0
